close,date,high,low,open,quoteVolume,volume,weightedAverage
10.2,1483498800,10.2,9.98726154,9.98726154,455.94217783,4626.39602158,10.14689196
10.32,1483500600,10.69650563,10.19999999,10.2,7652.36777572,80014.98236895,10.45623847
10.5,1483502400,10.5,10.29,10.31,2524.2086592,26240.39802493,10.39549481
10.46999994,1483504200,10.5,10.34,10.5,952.35264623,9939.48507086,10.43676952
10.4689982,1483506000,10.486,10.33153154,10.46999994,678.40883791,7052.23203325,10.39525377
10.49199998,1483507800,10.49199998,10.35,10.35000001,1137.96862225,11865.10774343,10.42656845
10.35,1483509600,10.49199916,10.32000997,10.49199916,862.82624804,9007.11582712,10.43908416
10.31,1483511400,10.48684457,10.31,10.35,188.02604515,1955.19862774,10.3985521
10.4,1483513200,10.4,10.25533035,10.3,333.6502709,3441.57638101,10.31492158
10.34,1483515000,10.449,10.33000001,10.4,320.67102667,3334.75778597,10.39931115
10.35,1483516800,10.43999993,10.33,10.34,834.48256972,8662.90874203,10.38117398
10.64999999,1483518600,10.65,10.34,10.4,1617.54384947,17081.12688987,10.55991582
10.73246974,1483520400,10.73246974,10.57970102,10.64999995,1588.46895306,16957.68464006,10.67549013
10.7299,1483522200,10.7324697,10.5435,10.651,127.65560592,1364.64058039,10.69001686
10.7,1483524000,10.749,10.67000003,10.7299,606.07389833,6491.52886873,10.71078772
10.750998,1483525800,10.75999999,10.68,10.722,529.73732097,5678.03035345,10.71857716
10.75999999,1483527600,10.75999999,10.67,10.72,1237.35636458,13240.90316289,10.70096177
10.62,1483529400,10.701,10.57257159,10.701,656.34288769,6993.60485216,10.65541347
10.635,1483531200,10.73364443,10.58000003,10.58000003,402.87744103,4286.341893,10.63931969
10.81710005,1483533000,10.81710005,10.64000012,10.72799997,4211.6147641,45377.37699632,10.77434179
10.76,1483534800,10.83560113,10.71,10.78400001,2401.37284078,25967.95933198,10.81379737
10.67615999,1483536600,10.82491609,10.67615999,10.76,1654.87620589,17727.8768988,10.71250939
10.486,1483538400,10.82491607,10.486,10.67615999,4774.77220926,50795.94864417,10.6384025
10.49999999,1483540200,10.5,10.3,10.47849232,688.33659952,7156.37073287,10.39661517
10.73,1483542000,10.76886687,10.49999999,10.49999999,935.5890837,9944.46253144,10.62909209
10.7,1483543800,10.75,10.6229689,10.71656026,1348.3187321,14415.67675939,10.69159421
10.6789647,1483545600,10.74999999,10.605,10.7,1114.61572226,11911.91178024,10.68701216
10.69000001,1483547400,10.74399999,10.56477557,10.68999997,175.68589067,1869.38359417,10.6404879
10.69,1483549200,10.79999999,10.61502373,10.74399998,1567.81937652,16807.42255697,10.72025439
10.78,1483551000,10.79610161,10.63580019,10.68999998,1095.31989148,11695.27847622,10.6775003
10.76,1483552800,10.77399991,10.7,10.709,296.08227954,3179.46553632,10.73845263
10.77452971,1483554600,10.81656026,10.74452972,10.76,623.29512007,6731.04726279,10.79913358
10.65219998,1483556400,10.83560114,10.52203967,10.80999998,1096.91236973,11679.36683466,10.64749305
10.76999993,1483558200,10.77334934,10.41000004,10.53200015,3225.87559513,34682.05513346,10.75120664
10.74999998,1483560000,10.8,10.65000003,10.76999993,1230.92631562,13247.51189372,10.76222981
10.7000153,1483561800,10.79000023,10.70000181,10.74,425.46381968,4566.67803167,10.73341097
10.83560114,1483563600,10.83560114,10.64569699,10.7001,1153.2797149,12394.867172,10.7474943
10.65,1483565400,10.80749661,10.5513097,10.71000001,2314.95178392,24580.06971633,10.61796184
10.71300052,1483567200,10.79803382,10.6119832,10.65,745.84736148,8003.34384749,10.73053852
10.849999,1483569000,10.85,10.70710336,10.72000045,505.19323842,5468.60815385,10.82478492
10.96699999,1483570800,10.99999999,10.80223862,10.849999,2096.21681888,22886.88908511,10.91818788
11.1,1483572600,11.1,10.92313202,10.999,2075.19368083,22948.52721986,11.05849898
11.18899994,1483574400,11.19193201,11.00000004,11.00000004,1985.61743299,22116.6304924,11.13841474
11.24999999,1483576200,11.44986999,11.1,11.18899992,4399.60685615,49623.46410751,11.27906781
11.32936826,1483578000,11.41256082,11.1606,11.34289956,620.664203,6984.21111033,11.25280155
11.53189001,1483579800,11.56782988,11.32936911,11.32936911,1208.14052849,13906.58167213,11.51073185
11.5,1483581600,11.5605601,11.2921,11.53189001,1209.85939047,13810.77096841,11.41518682
11.306,1483583400,11.5,11.30171353,11.5,208.9427957,2371.14250666,11.34828553
11.45999998,1483585200,11.45999998,11.21485155,11.38,2546.6762789,29028.65743988,11.39864445
11.44,1483587000,11.479,11.32200002,11.42479901,1507.37417215,17276.19827682,11.46112133
11.3373,1483588800,11.47900001,11.33729975,11.33729975,241.04849148,2745.6916967,11.3906197
11.4042531,1483590600,11.49999967,11.33,11.3373,384.39736215,4405.43525178,11.4606282
11.51884589,1483592400,11.59899999,11.4,11.49999981,3338.49658371,38364.50815397,11.49155231
11.5,1483594200,11.58399966,11.40000001,11.57229933,479.01285905,5502.40448611,11.48696612
11.425,1483596000,11.57157,11.41000001,11.44,187.3068685,2147.73996009,11.46642393
11.50000001,1483597800,11.57999999,11.43,11.55,211.44138674,2443.86121482,11.55810247
11.41,1483599600,11.54359999,11.41,11.50000001,758.67798437,8678.70121596,11.4392422
11.28009014,1483601400,11.47600002,11.28009,11.40000003,1195.35004118,13611.68864678,11.38719887
11.00531851,1483603200,11.47599998,10.97720003,11.28009,3585.26985082,40016.96948795,11.16149443
11.11929862,1483605000,11.23610256,11.00531851,11.00531851,2360.6006354,26138.14863525,11.07266864
10.67345061,1483606800,11.11929837,10.26800001,11.11929837,13610.94205046,144317.66805063,10.60306241
10.23,1483608600,10.67345057,10.22,10.50700009,5555.99729071,57680.8130681,10.38172087
10.77699999,1483610400,10.777,10,10.22,5177.96169288,53048.64240264,10.24508205
10.44000002,1483612200,10.81813327,10.39032392,10.77699999,2967.34300973,31282.46100107,10.54224634
10.31535108,1483614000,10.45086023,10.31307072,10.45000001,1584.65423458,16415.27694268,10.35890138
10.52000002,1483615800,10.57999998,10.31535109,10.31535109,687.47779062,7225.34740686,10.50993574
10.4,1483617600,10.56990503,10.26981849,10.52000001,1571.39615426,16297.22511617,10.37117538
10.0003359,1483619400,10.42,9.80000001,10.4,6840.30190991,68294.71877047,9.98416731
9.57999919,1483621200,10.09979998,9.25,9.90000002,18308.66611527,174725.00676854,9.54329527
9.4915,1483623000,9.81651984,9.4598,9.58000001,5174.19371103,49631.33545332,9.59209071
9.633,1483624800,9.633,9.47151703,9.52104984,2608.85254475,24868.9560471,9.53252651
9.74,1483626600,9.74,9.47151709,9.5999985,2359.28329667,22710.40616435,9.62597675
9.98179959,1483628400,10.00299999,9.61702606,9.74,2917.10640697,28816.46505513,9.87844152
10.15,1483630200,10.22,9.90000274,9.99039993,3918.19735926,39605.74357823,10.10815432
9.95027846,1483632000,10.20999989,9.9,10.15,1867.20346182,18759.45339445,10.04681802
9.69999781,1483633800,10.07349463,9.59,9.92271074,5263.78483002,51348.86229504,9.75512182
9.75009213,1483635600,9.85957004,9.605,9.69999782,2097.02900587,20275.93486493,9.66888622
9.77600592,1483637400,9.89999999,9.62000147,9.77,369.11351503,3624.93006645,9.8206376
10.1,1483639200,10.20299981,9.77600594,9.77600594,2683.51667909,26765.0606796,9.97387528
9.999,1483641000,10.20941386,9.96229724,10.0079,176.92446859,1780.29087315,10.06243448
9.75,1483642800,10.00000069,9.75,10.00000001,425.66660265,4236.80402361,9.95333906
10,1483644600,10,9.72999702,9.78,475.30258105,4682.56308205,9.85175184
9.91000078,1483646400,10.00000001,9.8219893,10,317.87048713,3141.90276508,9.88422295
10.04999999,1483648200,10.072,9.91000088,9.91000092,602.57281712,6025.32304703,9.99932767
9.92000011,1483650000,10.05,9.91000036,10.05,27.53901405,275.53509387,10.00526356
9.93900537,1483651800,10.06893354,9.92,10.06893354,190.77245436,1909.47206724,10.00916025
10.22949912,1483653600,10.22949983,9.93900676,10.01,767.01786786,7783.70350912,10.14800806
10.29999997,1483655400,10.29999997,10.07500088,10.07500088,1084.75095939,11085.4047452,10.21930854
10.15629998,1483657200,10.31,10.09,10.29,589.48296063,6057.81357158,10.2764863
10.09000007,1483659000,10.19799998,10.08999999,10.09,65.37831718,660.07563114,10.09624688
10.20509999,1483660800,10.20509999,10.07201004,10.19799974,78.26733245,795.42431295,10.16291584
10.28,1483662600,10.31,10.13800056,10.1999,240.52136028,2471.96304506,10.27751981
10.34168001,1483664400,10.4,10.21904555,10.3,1132.90673371,11681.73332328,10.31129304
10.24338905,1483666200,10.4,10.24338905,10.34168001,359.72784479,3729.71537619,10.36815867
10.1,1483668000,10.28486026,9.92870009,10.218,552.95950486,5613.2513733,10.15128833
9.8,1483669800,10.25744712,9.8,10.016,567.29713541,5721.04911359,10.08474881
9.8,1483671600,9.91579169,9.8,9.80000001,1578.90529955,15497.86081338,9.81557337
10.09716473,1483673400,10.09716473,9.74000048,9.8,736.86886748,7283.94261645,9.88499166
10.09999993,1483675200,10.09999993,9.97052366,10,68.47004691,689.89818077,10.07591219
10.0933949,1483677000,10.0933949,9.91047724,9.97052343,26.49491468,264.29190965,9.97519383
10.1,1483678800,10.1,9.91047751,9.91047751,8.15342553,82.06648546,10.06527687
10.04000116,1483680600,10.1,9.96791958,10,718.68898288,7201.83636901,10.02079695
10.09045574,1483682400,10.158,10.05,10.051,16.35048084,164.47003324,10.05903342
10.07955203,1483684200,10.07955204,10.07955203,10.07955203,7.34651513,74.04958151,10.07955203
10.08499999,1483686000,10.19997,10.05,10.09737817,770.72223834,7757.84903986,10.06568729
10.32699989,1483687800,10.327785,9.9,10.0561,442.05698092,4491.34262431,10.16009885
9.98564376,1483689600,10.19329514,9.97194428,10.19329514,68.10644429,690.87321436,10.14402119
10.10000001,1483691400,10.15499999,10,10.00000002,955.00092934,9630.25589255,10.08402777
10.32779988,1483693200,10.32779998,10.09160062,10.2,961.65713059,9867.29437601,10.26071981
10.01900005,1483695000,10.3274997,10,10.30999989,1210.92775125,12199.36012866,10.0743914
10.11999991,1483696800,10.25860016,10.00000005,10.04000008,95.53591802,962.55778302,10.0753497
10.01477701,1483698600,10.19799998,10.01477701,10.01701937,33.23674415,334.0711958,10.05126116
9.82593393,1483700400,10.14999789,9.82593393,10.01477701,2839.59704172,28122.68464539,9.90375896
9.89999941,1483702200,9.93999934,9.60000001,9.82593387,3864.72224185,37817.58655027,9.78533104
9.50000001,1483704000,9.89999997,9.5,9.89999997,3305.38147752,31925.93333791,9.6587742
9.71197783,1483705800,9.71197783,9.43324671,9.50000001,1239.24427623,11732.47176838,9.46744075
9.6245589,1483707600,9.77241872,9.6,9.70879704,885.81514447,8542.06552318,9.64316943
9.69428075,1483709400,9.75,9.61000019,9.66681349,585.69893301,5676.80591651,9.69236171
9.6209,1483711200,9.81651953,9.59000001,9.60523449,293.30515918,2858.35787937,9.74533788
9.8103945,1483713000,9.99999999,9.7,9.79999998,1035.36664289,10240.06140851,9.89027556
10.18999995,1483714800,10.19826025,9.81039488,9.81039488,1766.46670877,17745.31841331,10.04565686
10.09700074,1483716600,10.18999999,10.03822419,10.18999999,1896.53037314,19245.07865259,10.14751934
10.08612001,1483718400,10.19826025,10.01,10.183,3683.16392549,37312.02213337,10.13042668
10.02449249,1483720200,10.14259943,10.00448352,10.08612,1466.25978074,14795.70703184,10.09078147
10.07500004,1483722000,10.07500004,10.00500003,10.00500004,249.79450033,2510.31581844,10.04952396
10.16199992,1483723800,10.17574976,10.05000001,10.05000001,499.36166902,5053.50240692,10.11992453
10.14799977,1483725600,10.1619994,9.99339876,10.1619994,159.09299419,1599.85579836,10.05610464
9.92276155,1483727400,10.05029986,9.8,10.00130025,1324.3064656,13026.35392742,9.83635907
10.17528711,1483729200,10.19999733,9.84230078,9.92276155,603.36732595,6134.66515682,10.16738045
10.24,1483731000,10.24,10.1,10.17528711,5091.71917063,51908.16913206,10.19462531
10.05465249,1483732800,10.24,10.04990004,10.24,880.55022449,8937.89392694,10.15035108
10.12907867,1483734600,10.14339756,9.99294596,10.08,98.48488149,991.30540516,10.0655592
10.09579464,1483736400,10.19777,10.03000002,10.03000002,562.60614224,5691.48488808,10.11628644
10.05765771,1483738200,10.17590219,10.04759028,10.0957923,203.03062856,2053.56969779,10.1145808
10.06105932,1483740000,10.16999998,10.06105931,10.06105963,23.72993508,239.48382314,10.09205555
10.03000305,1483741800,10.15082055,10.0272931,10.06105933,53.32511275,535.91568019,10.04996806
10.0380421,1483743600,10.16999997,10.030013,10.030013,126.30349878,1272.69441658,10.07647791
10.08000001,1483745400,10.1559226,10.01503347,10.0294301,163.20599178,1654.72516279,10.13887507
10.02503535,1483747200,10.05503536,10.02503535,10.05503535,168.741556,1692.36257335,10.0293171
10.09590887,1483749000,10.09999998,10.04098502,10.09,98.30708931,988.92663205,10.05956578
10.02491407,1483750800,10.09999998,10.02491246,10.09999998,16.35527665,164.73315962,10.072172
9.91256891,1483752600,10.09999997,9.91000002,10.07503534,551.37563374,5486.8661943,9.9512308
9.72406797,1483754400,9.97849859,9.62,9.91017926,2093.29984401,20649.89538784,9.86475752
9.68999999,1483756200,9.72406819,9.62000002,9.72406808,716.89049728,6918.99897401,9.65140282
9.605,1483758000,9.72012916,9.6,9.69999996,1036.27914379,9974.64805675,9.62544514
